CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,URI
Harbourview Resources LLP,01000279,,,11 Kings Avenue,,Leeds,,United Kingdom,M1 2UN,Private Limited Company,Active,United Kingdom,,28/01/2005,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000279
Fairhaven Trading 30 LTD,01000280,,,27 Manor Way,,Liverpool,,United Kingdom,BS1 6JN,Private Limited Company,Active,United Kingdom,,04/07/2018,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000280
Fairhaven Properties LIMITED,SC1000281,,,173 Mill Lane,,Glasgow,,United Kingdom,G2 6EA,Private Limited Company,Dissolved,United Kingdom,,20/09/2009,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/SC1000281
Sterling Resources LIMITED,01000282,,,102 Queens Road,,Manchester,,United Kingdom,SW1A 4RR,Private Limited Company,Active,United Kingdom,,10/10/1997,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000282
Ironbridge Assets LIMITED,01000283,,,239 Church Lane,,Glasgow,,United Kingdom,CF10 7PW,Private Limited Company,Active,United Kingdom,,17/07/2019,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000283
Blackwater Resources LIMITED,01000284,,,90 Victoria Road,,Cardiff,,United Kingdom,CF10 9PY,Private Limited Company,Active,United Kingdom,,10/05/2013,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000284
Ironbridge Properties PLC,01000285,,,246 Victoria Road,,Manchester,,United Kingdom,L1 8LQ,Private Limited Company,Active,United Kingdom,,17/03/2021,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000285
Thornbury Management PLC,01000286,,,111 Victoria Road,,Glasgow,,United Kingdom,EC1V 9AE,Private Limited Company,Active,United Kingdom,,17/01/1996,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000286
Marlborough Investments 20 LTD,01000287,,,76 Park View,,Manchester,,United Kingdom,N1 5QA,Private Limited Company,Dissolved,United Kingdom,,24/03/1999,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000287
Beaconsfield Investments 7 LLP,01000288,,,182 Queens Road,,Glasgow,,United Kingdom,W1D 2DH,Private Limited Company,Active,United Kingdom,,21/10/2004,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000288
Gatehouse Partners LTD,01000289,,,14 Church Lane,,Sheffield,,United Kingdom,LS1 6BW,Private Limited Company,Active,United Kingdom,,25/07/1998,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000289
Silverline Properties LIMITED,01000290,,,13 Queens Road,,London,,United Kingdom,SW1A 9PD,Private Limited Company,Active,United Kingdom,,16/07/1995,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000290
Marlborough Enterprises LIMITED,01000291,,,88 Church Lane,,Edinburgh,,United Kingdom,SE1 2FX,Private Limited Company,Active,United Kingdom,,07/10/2012,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000291
Gatehouse Assets 37 LIMITED,SC1000292,,,91 Manor Way,,Bristol,,United Kingdom,CF10 1HL,Private Limited Company,Dissolved,United Kingdom,,12/09/2017,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/SC1000292
Longacre Investments LTD,01000293,,,198 Manor Way,,Edinburgh,,United Kingdom,B3 8SH,Private Limited Company,Active,United Kingdom,,22/10/2023,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000293
Northgate Ventures LTD,01000294,,,59 Victoria Road,,Birmingham,,United Kingdom,SW1A 9TB,Private Limited Company,Active,United Kingdom,,27/02/2019,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000294
Northgate Investments LIMITED,01000295,,,230 Park View,,Leeds,,United Kingdom,L1 3AZ,Private Limited Company,Dissolved,United Kingdom,,04/01/1990,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000295
Kingsway Properties LLP,01000296,,,160 Kings Avenue,,Glasgow,,United Kingdom,W1D 4WA,Private Limited Company,Active,United Kingdom,,06/02/2024,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000296
Gatehouse Resources LLP,01000297,,,227 Victoria Road,,Liverpool,,United Kingdom,CF10 7NY,Private Limited Company,Active,United Kingdom,,04/07/1996,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000297
Ravensworth Assets PLC,01000298,,,215 Victoria Road,,London,,United Kingdom,G2 1BU,Private Limited Company,Dissolved,United Kingdom,,17/12/1992,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000298
Whitehall Management PLC,01000299,,,107 Mill Lane,,London,,United Kingdom,G2 7RP,Private Limited Company,Dissolved,United Kingdom,,05/07/2023,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000299
Whitehall Investments LTD,01000300,,,208 Kings Avenue,,Bristol,,United Kingdom,EH1 3YE,Private Limited Company,Active,United Kingdom,,25/11/2002,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000300
Gatehouse Capital PLC,01000301,,,220 Mill Lane,,Liverpool,,United Kingdom,EH1 7RF,Private Limited Company,Active,United Kingdom,,24/12/1990,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000301
Ravensworth Holdings PLC,01000302,,,140 Victoria Road,,Cardiff,,United Kingdom,N1 9UJ,Private Limited Company,Dissolved,United Kingdom,,21/02/2007,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000302
Gatehouse Investments 23 LIMITED,SC1000303,,,165 Manor Way,,London,,United Kingdom,W1D 8TS,Private Limited Company,Active,United Kingdom,,16/09/2019,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/SC1000303
Harbourview Management LLP,SC1000304,,,154 Station Road,,London,,United Kingdom,SW1A 5RP,Private Limited Company,Liquidation,United Kingdom,,10/12/2005,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/SC1000304
Northgate Partners PLC,01000305,,,101 Church Lane,,Manchester,,United Kingdom,SE1 7SB,Private Limited Company,Active,United Kingdom,,12/08/2010,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000305
Eastbrook Investments PLC,01000306,,,188 Park View,,Glasgow,,United Kingdom,S1 5NY,Private Limited Company,Active,United Kingdom,,20/03/1993,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000306
Silverline Ventures LLP,01000307,,,10 Mill Lane,,Manchester,,United Kingdom,EC1V 7GB,Private Limited Company,Liquidation,United Kingdom,,16/03/2007,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000307
Aldgate Ventures LTD,01000308,,,207 Queens Road,,Bristol,,United Kingdom,L1 9UN,Private Limited Company,Active,United Kingdom,,11/08/2009,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000308
Sterling Holdings LTD,01000309,,,199 Church Lane,,Cardiff,,United Kingdom,SW1A 4ZL,Private Limited Company,Active,United Kingdom,,23/03/2008,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000309
Eastbrook Management 21 PLC,01000310,,,156 Victoria Road,,Sheffield,,United Kingdom,EC1V 1LY,Private Limited Company,Active,United Kingdom,,03/01/2014,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000310
Gatehouse Partners LLP,01000311,,,102 Queens Road,,Bristol,,United Kingdom,CF10 9EY,Private Limited Company,Active,United Kingdom,,17/08/2018,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000311
Crestwood Ventures PLC,01000312,,,178 Kings Avenue,,Manchester,,United Kingdom,S1 8WW,Private Limited Company,Dissolved,United Kingdom,,28/12/1998,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000312
Longacre Properties PLC,01000313,,,189 Park View,,Manchester,,United Kingdom,WC2H 7WN,Private Limited Company,Active,United Kingdom,,09/04/2017,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000313
Crestwood Ventures LTD,01000314,,,192 Bridge Street,,Glasgow,,United Kingdom,B3 5HA,Private Limited Company,Active,United Kingdom,,27/03/2019,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000314
Whitehall Trading PLC,SC1000315,,,155 Bridge Street,,Bristol,,United Kingdom,N1 3JW,Private Limited Company,Active,United Kingdom,,11/06/2001,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/SC1000315
Camberwell Group PLC,01000316,,,50 High Street,,Sheffield,,United Kingdom,SE1 6JB,Private Limited Company,Active,United Kingdom,,25/12/2010,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000316
Fairhaven Group 35 LIMITED,01000317,,,225 Manor Way,,Glasgow,,United Kingdom,G2 5XB,Private Limited Company,Active,United Kingdom,,18/01/2022,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000317
Aldgate Holdings LLP,01000318,,,10 Mill Lane,,Glasgow,,United Kingdom,EC1V 7LU,Private Limited Company,Liquidation,United Kingdom,,26/12/2018,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000318
Redwood Assets LLP,01000319,,,187 Victoria Road,,Edinburgh,,United Kingdom,S1 5AE,Private Limited Company,Active,United Kingdom,,14/06/2011,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000319
Fairhaven Ventures LLP,SC1000320,,,182 Station Road,,Edinburgh,,United Kingdom,WC2H 5HR,Private Limited Company,Dissolved,United Kingdom,,15/08/2004,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/SC1000320
Marlborough Group 4 LLP,01000321,,,210 Queens Road,,Edinburgh,,United Kingdom,S1 2JP,Private Limited Company,Active,United Kingdom,,17/02/1990,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000321
Ravensworth Capital PLC,01000322,,,119 Bridge Street,,Birmingham,,United Kingdom,WC2H 1QX,Private Limited Company,Active,United Kingdom,,25/04/2019,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000322
Thornbury Holdings 17 PLC,01000323,,,213 Park View,,Manchester,,United Kingdom,SE1 8NW,Private Limited Company,Active,United Kingdom,,06/10/2014,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000323
Ludgate Enterprises LLP,01000324,,,17 Queens Road,,Glasgow,,United Kingdom,EH1 6QP,Private Limited Company,Active,United Kingdom,,21/08/2013,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000324
Ludgate Partners PLC,01000325,,,57 Park View,,Leeds,,United Kingdom,W1D 2DL,Private Limited Company,Active,United Kingdom,,04/08/1995,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000325
Camberwell Ventures LLP,01000326,,,135 Queens Road,,Liverpool,,United Kingdom,N1 1NW,Private Limited Company,Active,United Kingdom,,20/01/2015,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000326
Beaconsfield Investments LTD,01000327,,,124 Park View,,Leeds,,United Kingdom,BS1 4QZ,Private Limited Company,Active,United Kingdom,,28/07/2012,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000327
Pinnacle Management LLP,01000328,,,159 Manor Way,,London,,United Kingdom,BS1 7UX,Private Limited Company,Active,United Kingdom,,23/06/2010,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000328
Ironbridge Holdings PLC,01000329,,,130 Queens Road,,Bristol,,United Kingdom,B3 5BD,Private Limited Company,Dissolved,United Kingdom,,04/02/2010,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000329
Harbourview Enterprises PLC,01000330,,,64 Kings Avenue,,Leeds,,United Kingdom,SW1A 4PX,Private Limited Company,Active,United Kingdom,,23/11/2017,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000330
Ludgate Partners LLP,01000331,,,180 Queens Road,,Liverpool,,United Kingdom,G2 3LT,Private Limited Company,Dissolved,United Kingdom,,07/01/2004,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000331
Northgate Group LLP,01000332,,,68 Manor Way,,Cardiff,,United Kingdom,W1D 2XR,Private Limited Company,Active,United Kingdom,,08/05/2004,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000332
Beaconsfield Holdings LTD,01000333,,,248 Station Road,,Cardiff,,United Kingdom,EH1 2XJ,Private Limited Company,Active,United Kingdom,,06/05/2011,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000333
Pinnacle Assets LIMITED,01000334,,,176 Park View,,London,,United Kingdom,M1 4YY,Private Limited Company,Active,United Kingdom,,12/11/1997,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000334
Camberwell Holdings LLP,01000335,,,144 Station Road,,Bristol,,United Kingdom,B3 6ZT,Private Limited Company,Dissolved,United Kingdom,,13/10/2021,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000335
Camberwell Investments LTD,01000336,,,151 Bridge Street,,Bristol,,United Kingdom,W1D 2EL,Private Limited Company,Active,United Kingdom,,14/01/2022,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000336
Crestwood Enterprises LIMITED,01000337,,,153 Park View,,Leeds,,United Kingdom,LS1 6ED,Private Limited Company,Liquidation,United Kingdom,,13/07/2009,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000337
Gatehouse Resources LLP,SC1000338,,,220 Church Lane,,Birmingham,,United Kingdom,LS1 8EP,Private Limited Company,Active,United Kingdom,,08/01/1997,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/SC1000338
Northgate Holdings LLP,01000339,,,70 Park View,,Leeds,,United Kingdom,G2 9ZY,Private Limited Company,Active,United Kingdom,,02/06/2015,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000339
Thornbury Group LTD,01000340,,,188 Station Road,,Glasgow,,United Kingdom,L1 5XU,Private Limited Company,Active,United Kingdom,,02/07/2008,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000340
Silverline Capital LIMITED,01000341,,,59 Bridge Street,,Glasgow,,United Kingdom,L1 2QR,Private Limited Company,Active,United Kingdom,,25/12/2016,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000341
Marlborough Properties LLP,01000342,,,72 Mill Lane,,Glasgow,,United Kingdom,N1 1JT,Private Limited Company,Active,United Kingdom,,10/07/2020,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000342
Kingsway Trading PLC,01000343,,,85 Church Lane,,Leeds,,United Kingdom,B3 5AS,Private Limited Company,Active,United Kingdom,,24/04/1994,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000343
Marlborough Management LLP,01000344,,,199 Kings Avenue,,Glasgow,,United Kingdom,M1 6XY,Private Limited Company,Active,United Kingdom,,01/02/2002,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000344
Aldgate Enterprises LTD,01000345,,,159 Bridge Street,,Liverpool,,United Kingdom,N1 6SE,Private Limited Company,Active,United Kingdom,,27/11/2023,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000345
Redwood Enterprises PLC,01000346,,,174 Mill Lane,,Bristol,,United Kingdom,S1 6WR,Private Limited Company,Active,United Kingdom,,16/02/2002,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000346
Whitehall Ventures LLP,01000347,,,148 Queens Road,,Cardiff,,United Kingdom,EC1V 2RL,Private Limited Company,Dissolved,United Kingdom,,07/11/1990,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000347
Harbourview Resources LIMITED,01000348,,,96 Bridge Street,,Sheffield,,United Kingdom,SE1 9WU,Private Limited Company,Active,United Kingdom,,06/09/2014,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000348
Northgate Partners LLP,01000349,,,68 Bridge Street,,London,,United Kingdom,EC1V 6BR,Private Limited Company,Active,United Kingdom,,20/07/1992,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000349
Longacre Trading LLP,01000350,,,3 Station Road,,Edinburgh,,United Kingdom,CF10 5QF,Private Limited Company,Active,United Kingdom,,15/04/2021,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000350
Ashcroft Group PLC,01000351,,,8 Park View,,Liverpool,,United Kingdom,B3 6QP,Private Limited Company,Active,United Kingdom,,14/03/2006,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000351
Eastbrook Group LIMITED,01000352,,,34 Mill Lane,,Edinburgh,,United Kingdom,SE1 3LS,Private Limited Company,Active,United Kingdom,,10/07/2021,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000352
Silverline Capital PLC,01000353,,,24 Manor Way,,Glasgow,,United Kingdom,G2 1XD,Private Limited Company,Active,United Kingdom,,06/10/2004,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000353
Redwood Management PLC,01000354,,,218 Station Road,,Manchester,,United Kingdom,M1 9XH,Private Limited Company,Active,United Kingdom,,28/10/2021,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000354
Marlborough Holdings LTD,SC1000355,,,235 Bridge Street,,London,,United Kingdom,SW1A 9RJ,Private Limited Company,Active,United Kingdom,,10/03/2004,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/SC1000355
Ravensworth Capital LIMITED,SC1000356,,,203 Queens Road,,Sheffield,,United Kingdom,W1D 5DD,Private Limited Company,Active,United Kingdom,,03/06/2021,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/SC1000356
Ravensworth Enterprises LTD,01000357,,,153 Mill Lane,,Manchester,,United Kingdom,EH1 6NA,Private Limited Company,Dissolved,United Kingdom,,19/07/2018,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000357
Gatehouse Enterprises LLP,01000358,,,31 High Street,,Manchester,,United Kingdom,EC1V 2GX,Private Limited Company,Active,United Kingdom,,04/01/2024,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000358
Meridian Partners LLP,01000359,,,122 Manor Way,,Birmingham,,United Kingdom,B3 9XH,Private Limited Company,Active,United Kingdom,,02/01/1992,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000359
Sterling Investments LTD,01000360,,,110 Park View,,Cardiff,,United Kingdom,L1 1SJ,Private Limited Company,Active,United Kingdom,,07/10/2019,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000360
Harbourview Assets LTD,01000361,,,90 Mill Lane,,Bristol,,United Kingdom,BS1 6JH,Private Limited Company,Dissolved,United Kingdom,,24/07/2006,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000361
Harbourview Management LTD,01000362,,,199 Kings Avenue,,Sheffield,,United Kingdom,B3 9DY,Private Limited Company,Active,United Kingdom,,10/12/2002,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000362
Ravensworth Management LIMITED,01000363,,,218 Park View,,Glasgow,,United Kingdom,B3 5AL,Private Limited Company,Active,United Kingdom,,09/09/2005,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000363
Blackwater Enterprises LLP,01000364,,,222 Park View,,Leeds,,United Kingdom,EH1 4XU,Private Limited Company,Active,United Kingdom,,18/11/2009,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000364
Longacre Investments LIMITED,01000365,,,3 Victoria Road,,Sheffield,,United Kingdom,EH1 7SG,Private Limited Company,Active,United Kingdom,,17/04/2014,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000365
Gatehouse Investments LLP,01000366,,,66 Victoria Road,,Sheffield,,United Kingdom,N1 1GB,Private Limited Company,Active,United Kingdom,,14/04/1990,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000366
Harbourview Ventures LIMITED,01000367,,,33 Bridge Street,,Sheffield,,United Kingdom,G2 9HH,Private Limited Company,Dissolved,United Kingdom,,14/06/1999,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000367
Camberwell Assets PLC,01000368,,,69 Church Lane,,Leeds,,United Kingdom,S1 5PR,Private Limited Company,Active,United Kingdom,,13/09/2023,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000368
Meridian Ventures PLC,01000369,,,241 High Street,,Glasgow,,United Kingdom,EH1 5SQ,Private Limited Company,Active,United Kingdom,,22/01/2015,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000369
Pinnacle Ventures LTD,01000370,,,32 Manor Way,,Glasgow,,United Kingdom,L1 4BE,Private Limited Company,Active,United Kingdom,,03/11/2018,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000370
Aldgate Holdings LTD,01000371,,,177 High Street,,Liverpool,,United Kingdom,CF10 4AT,Private Limited Company,Active,United Kingdom,,27/04/2022,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000371
Eastbrook Management PLC,01000372,,,207 Station Road,,Manchester,,United Kingdom,WC2H 3ZQ,Private Limited Company,Active,United Kingdom,,23/09/2003,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000372
Kingsway Resources LLP,01000373,,,35 Queens Road,,Glasgow,,United Kingdom,SW1A 1QU,Private Limited Company,Dissolved,United Kingdom,,15/11/2013,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000373
Ashcroft Group LIMITED,01000374,,,221 Victoria Road,,Birmingham,,United Kingdom,L1 8HU,Private Limited Company,Active,United Kingdom,,22/08/2007,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000374
Harbourview Holdings LTD,01000375,,,31 Victoria Road,,Bristol,,United Kingdom,SW1A 8NH,Private Limited Company,Active,United Kingdom,,18/09/2004,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000375
Camberwell Management LTD,01000376,,,159 Kings Avenue,,Leeds,,United Kingdom,EH1 6UX,Private Limited Company,Active,United Kingdom,,12/06/2003,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000376
Eastbrook Capital PLC,01000377,,,195 Park View,,Edinburgh,,United Kingdom,CF10 2SU,Private Limited Company,Active,United Kingdom,,19/10/1994,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000377
Camberwell Resources LIMITED,01000378,,,91 High Street,,Manchester,,United Kingdom,BS1 6NE,Private Limited Company,Active,United Kingdom,,24/02/2022,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000378
Northgate Properties LLP,01000379,,,70 Station Road,,London,,United Kingdom,L1 4BJ,Private Limited Company,Active,United Kingdom,,26/08/2016,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000379
Gatehouse Investments LTD,01000380,,,162 Kings Avenue,,Leeds,,United Kingdom,S1 7JT,Private Limited Company,Active,United Kingdom,,06/05/2002,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000380
Camberwell Enterprises PLC,01000381,,,24 Mill Lane,,Bristol,,United Kingdom,BS1 5QY,Private Limited Company,Active,United Kingdom,,16/05/2023,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000381
Ravensworth Group LLP,01000382,,,15 Victoria Road,,Birmingham,,United Kingdom,CF10 1EY,Private Limited Company,Liquidation,United Kingdom,,11/08/2023,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000382
Ironbridge Assets LLP,01000383,,,76 Station Road,,London,,United Kingdom,L1 9HW,Private Limited Company,Active,United Kingdom,,03/04/2013,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000383
Longacre Ventures LLP,01000384,,,168 Mill Lane,,Liverpool,,United Kingdom,EC1V 5WA,Private Limited Company,Active,United Kingdom,,26/11/1994,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000384
Longacre Assets PLC,01000385,,,192 Queens Road,,Manchester,,United Kingdom,BS1 3ZB,Private Limited Company,Active,United Kingdom,,08/08/1999,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000385
Pinnacle Investments 8 LIMITED,SC1000386,,,127 Station Road,,Glasgow,,United Kingdom,CF10 6DL,Private Limited Company,Active,United Kingdom,,26/07/1999,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/SC1000386
Ironbridge Capital LIMITED,01000387,,,165 Victoria Road,,Manchester,,United Kingdom,S1 9PU,Private Limited Company,Active,United Kingdom,,28/07/2015,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000387
Ludgate Properties LTD,01000388,,,143 High Street,,Edinburgh,,United Kingdom,SW1A 9ZT,Private Limited Company,Active,United Kingdom,,16/01/2013,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000388
Ashcroft Properties LIMITED,01000389,,,113 Mill Lane,,Leeds,,United Kingdom,SE1 1SL,Private Limited Company,Active,United Kingdom,,19/09/2009,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000389
Longacre Capital PLC,01000390,,,29 Station Road,,Glasgow,,United Kingdom,WC2H 9GQ,Private Limited Company,Active,United Kingdom,,17/09/1998,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000390
Whitehall Capital PLC,01000391,,,198 Station Road,,Sheffield,,United Kingdom,LS1 1AY,Private Limited Company,Active,United Kingdom,,13/05/1996,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000391
Thornbury Assets LTD,01000392,,,23 Park View,,Cardiff,,United Kingdom,B3 2EA,Private Limited Company,Active,United Kingdom,,20/07/2019,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000392
Silverline Resources LTD,01000393,,,140 Park View,,Cardiff,,United Kingdom,G2 2GB,Private Limited Company,Active,United Kingdom,,02/04/2024,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000393
Marlborough Partners LIMITED,01000394,,,87 Mill Lane,,Edinburgh,,United Kingdom,B3 2QT,Private Limited Company,Active,United Kingdom,,06/01/1993,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000394
Ashcroft Capital LTD,01000395,,,224 Queens Road,,Liverpool,,United Kingdom,B3 6BF,Private Limited Company,Active,United Kingdom,,21/08/1992,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000395
